,text,term,polarity
0,这个课越听越有干货，我是有些C++基础的了，也打过一些比赛，但总感觉自己零零碎碎学一些实在不妥，很多底层的东西不知道，有的东西不清楚，看到这个课抱着想听下的态度，结果完美！这个课目前为止我听到很多细节都是我以前忽略，甚至是不知道的，老师人也很好，讲课也还比较细致了，一个知识点会给你花时间讲清楚。我希望老师过年这会能辛苦点，多更新一些，毕竟过年在家不准出门。以后若是老师其他课，我也会给予支持的！,NAN,好评
1,感觉还不错，老师的讲解可以说是另辟蹊径，和我在大学计算机基础上学到的枯燥冗长的C++还是有很大区别的。老师的讲授还是很不错的，补充了原先我不理解的细节。同时提醒我在转行计算机领域的过程中还有更多没有发现的深层次问题。,NAN,好评
2,用生活中事物举例很容易理解，讲的很底层，所以在日后开发时大脑中会想象中代码在内存中形态，可以让我写出更优质的代码，这个课程虽然有瑕疵，但我们只需要关注主要部分，老师很专业，讲得很好，希望在出另一个桌面应用实战课程,NAN,好评
3,老师讲的很好，我觉得结合了软硬件这一方面是学校没有涉及的，感觉涉及的内容还是挺多的，前面这些就涉及了计算机组成原理，机器数，进制转换，这些基础知识，期待老师后边更新的内容！,NAN,好评
4,目前听的是基础语法，这一块和很多课程差不多，不过速度上不罗嗦挺好，更关注的是后面的进阶和高级篇尤其是实战部分，就是冲着这些来的，希望到时候老师能有更多的精彩呈现,NAN,好评
5,"老师讲的非常透彻,一直在做java 开发, 在看JVM相关书籍时发现根本离不开C语言,所以才来补习,对于老师将代码与内存 同时讲解的风格十分喜爱,相信学完视频之后 会对虚拟机 的学习有非常大的帮助,",NAN,好评
6,我们大学这个学期正好学C++，课堂内有时消化不过来，所以来线上听这门课。老师讲得很基础，通俗易懂，老师是站在我们初学者的角度考虑问题的，还有平常上课不涉及的底层知识，回过头去课堂听课感到轻松很多。,NAN,好评
7,"老师备课特别用心，我一直紧紧跟着进度，出来一节消灭一节。虽然现在已经是码农大军中的一员了，但是说来惭愧，上次学习C++还是三年前在大学里的事情。温故而知新，期待后面的内容。催更催更哈哈哈

PS: 疫情还是很严重，老师一定要保重身体",NAN,好评
8,老师讲的很好，而且联系到底层原理，入门的内容也有，进阶的引入也有，适合作为c++的敲门砖,NAN,好评
9,现在回头再巩固一下 C++ 的知识，还是有收获的。,NAN,好评
10,这个课越听越有干货，我是有些C++基础的了，也打过一些比赛，但总感觉自己零零碎碎学一些实在不妥，很多底层的东西不知道，有的东西不清楚，看到这个课抱着想听下的态度，结果完美！这个课目前为止我听到很多细节都是我以前忽略，甚至是不知道的，老师人也很好，讲课也还比较细致了，一个知识点会给你花时间讲清楚。我希望老师过年这会能辛苦点，多更新一些，毕竟过年在家不准出门。以后若是老师其他课，我也会给予支持的！,NAN,好评
11,感觉还不错，老师的讲解可以说是另辟蹊径，和我在大学计算机基础上学到的枯燥冗长的C++还是有很大区别的。老师的讲授还是很不错的，补充了原先我不理解的细节。同时提醒我在转行计算机领域的过程中还有更多没有发现的深层次问题。,NAN,好评
12,用生活中事物举例很容易理解，讲的很底层，所以在日后开发时大脑中会想象中代码在内存中形态，可以让我写出更优质的代码，这个课程虽然有瑕疵，但我们只需要关注主要部分，老师很专业，讲得很好，希望在出另一个桌面应用实战课程,NAN,好评
13,老师讲的很好，我觉得结合了软硬件这一方面是学校没有涉及的，感觉涉及的内容还是挺多的，前面这些就涉及了计算机组成原理，机器数，进制转换，这些基础知识，期待老师后边更新的内容！,NAN,好评
14,目前听的是基础语法，这一块和很多课程差不多，不过速度上不罗嗦挺好，更关注的是后面的进阶和高级篇尤其是实战部分，就是冲着这些来的，希望到时候老师能有更多的精彩呈现,NAN,好评
15,"老师讲的非常透彻,一直在做java 开发, 在看JVM相关书籍时发现根本离不开C语言,所以才来补习,对于老师将代码与内存 同时讲解的风格十分喜爱,相信学完视频之后 会对虚拟机 的学习有非常大的帮助,",NAN,好评
16,我们大学这个学期正好学C++，课堂内有时消化不过来，所以来线上听这门课。老师讲得很基础，通俗易懂，老师是站在我们初学者的角度考虑问题的，还有平常上课不涉及的底层知识，回过头去课堂听课感到轻松很多。,NAN,好评
17,"老师备课特别用心，我一直紧紧跟着进度，出来一节消灭一节。虽然现在已经是码农大军中的一员了，但是说来惭愧，上次学习C++还是三年前在大学里的事情。温故而知新，期待后面的内容。催更催更哈哈哈

PS: 疫情还是很严重，老师一定要保重身体",NAN,好评
18,老师讲的很好，而且联系到底层原理，入门的内容也有，进阶的引入也有，适合作为c++的敲门砖,NAN,好评
19,现在回头再巩固一下 C++ 的知识，还是有收获的。,NAN,好评
20,"讲的挺好，就是有一丢丢墨迹
总体挺详细，挺使用的。",NAN,好评
21,"总体可以,老师讲的深入底层,包括内存分布等等底层的实现,对新手小白不太友好,基础部分讲解的不太细致,但是内容的深度很深,不适合0基础的人,最好有其他语言基础的过来学,老师非常厉害,许多业务上容易出错忽视的地方都有讲解!",NAN,好评
22,这门课还是有收获的，但是对自己而言，学起来还是比较辛苦的，希望能坚持下去。还是有很多不明白的地方，会经常回头看看，希望老师能有耐心指导。,NAN,好评
23,老师讲的非常棒，以前学过一点，但是重新学还是有新的收获,NAN,好评
24,"从入门到""精通""C++",NAN,好评
25,C++正在入门中到内存！~~~~~,NAN,好评
26,"内容挺不错的, 录制的语调让人不舒服, 语速得2倍速",NAN,好评
27,用生活中事物举例很容易理解，讲的很底层，所以在日后开发时大脑中会想象中代码在内存中形态，可以让我写出更优质的代码，这个课程虽然有瑕疵，但我们只需要关注主要部分，老师很专业，讲得很好，希望在出另一个桌面应用实战课程,NAN,好评
28,讲的非常的细致，我觉得还是适合有点基础的人来学，很多底层的东西我之前是没有接触过的，没想到这个课程里面都阐述的明明白白，老师人也很好，疯狂打call,NAN,好评
29,理论系统很庞大，对底层的知识也有了很多的讲解；对非科班出身的同学来说更容易掌握要点，不至于忙来忙去一头雾水，希望能在实战课里看到更多精彩的内容,NAN,好评
30,对重构知识体系很有帮助，但因为c++知识体系太庞大了，学习要真正踏实地打好基础才能听得很透彻，加油吧！,NAN,好评
31,讲的非常好，耐心细致，答疑也快。课程设计对于有一些C基础的同学来说会很有帮助，对C++的理解更加深入。,NAN,好评
32,内容挺实在的，也比较有深度。不适合新手，需要一定基础，另外可能是为了讲透底层，知识点的顺序偏c，也进一步加大了学习门槛,NAN,好评
33,"帮助重新捡回遗忘在学校的知识点。
然后我现在用的VSCode在写这些练习代码，就是不知道之后VSCode能不能支持构建实践项目的那些窗体。",NAN,好评
34,目前才看到文件操作，不过感觉老师讲的挺实用的！干货满满，对于上岗来说足够了！,NAN,好评
35,老师讲的很不错，我大学没有c++的课程，都能听得很清楚,NAN,好评
36,老师讲的很不错，我大学没有c++的课程，都能听得很清楚,NAN,好评
37,想从事游戏研发，学好c++很重要，老师讲的很底层，我很喜欢！,NAN,好评
38,非常好，支持出新的课程，还会继续学习支持,NAN,好评
39,还不错。有个项目急需c++入门，就来学了,NAN,好评
40,老师回答的比较及时，对于我这种有一点点c++基础的同学来说也是很有收获的,NAN,好评
41,感觉不错，虽然基础学起来比较枯燥，但很有帮助，重新梳理了下知识点。,NAN,好评
42,讲到了很多问题的本质，帮助很大！点赞！！,NAN,好评
43,讲的很细致，有提高。很久以前学的c了，基本都忘光了还是可以跟得上。,NAN,好评
44,讲的很细致，有提高。很久以前学的c了，基本都忘光了还是可以跟得上。,NAN,好评
45,有C++基础的同学在学习这个课程的时候不要跳过前面的基础部分，也会有收获！,NAN,好评
46,还不错，挺贴近底层的，就是前面讲基础的部分太多了,NAN,好评
47,还不错，......挺实用的，希望对开发有帮助,NAN,好评
48,内容讲的很细，涵盖了c++基本的所有知识,NAN,好评
49,通俗易懂，基础和进阶都有，二刷C++又重新学到了许多新的知识,NAN,好评
50,讲的挺好的，基本都能听懂，实不实用就不知道了，还没用呢,NAN,好评
51,讲的很细致！但个人觉得还是适合有点基础的人来听，萌新听的话感觉挺累人,NAN,好评
52,老师讲法深入浅出，许多细节上的讲解十分到位，理解起来比较容易。还有老师声音也很好听~,NAN,好评
53,CPP自己学起来还是比较困难的，期待后面的项目讲解。课程还有优化空间。,NAN,好评
54,感觉非常好，会把一些项目中实践的经验介绍过来，很多是书上没有的，点赞,NAN,好评
55,还在看基础部分，老师讲得比较细，有讲到底层的东西，比自己看书好多了,NAN,好评
56,还行，有点基础2倍速看，感觉有不错的地方可以仔细研究一下,NAN,好评
57,老师对一些基础知识讲解很仔细，对我有很大帮助！,NAN,好评
58,特别实用，从小白开始，如果能加快更新速度就更好了。,NAN,好评
59,老师讲得很基础，很细致，特别适合我这类初学者,NAN,好评
60,这门课重点在实用，项目工程中所涉及到的基础内容讲的通俗易懂。很棒！,NAN,好评
61,希望老师可以尽快更新，考研复试就准备老师教的这个项目了。,NAN,好评
62,老师讲课内容全面，逻辑清晰，期待后面的实战课程,NAN,好评
63,还不错，学习C++的知识，初学者可以接受,NAN,好评
64,老师讲解的逻辑非常清晰，表达概括、凝练，能让人沉下心来学习,NAN,好评
65,还行 ~~~~~~~~~~~~~~~~~~~~~~~~,NAN,好评
66,老师讲的很详细！ 真是从入门到精通C++,NAN,好评
67,开创性1+1=2教学，讲解的挺细致的，期待后面内容,NAN,好评
68,很好，很详细，讲解得很细致，拓展也足够了,NAN,好评
69,讲得非常详细，对于完全掌握c++有很大的帮助,NAN,好评
70,"老师讲的很不错，从入门到""精通""C++",NAN,好评
71,将的很不错，很适合补充自己的,NAN,好评
72,讲的比较深入，能较好地巩固自己的知识,NAN,好评
73,讲的非常好，希望出新的课程,NAN,好评
74,老师讲的不错，期待更多的新课,NAN,好评
75,整体来说讲的还行，补充了不少知识,NAN,好评
76,很好，很多是书里面没有的，通俗易懂,NAN,好评
77,讲得很底层，所以很大部分感觉是C,NAN,好评
78,非常细致，老师的功力很深厚,NAN,好评
79,还不错，努力学习ing,NAN,好评
80,老师讲解很细致，需要提升内功！,NAN,好评
81,讲的挺好的，比较细致,NAN,好评
82,推荐学过c语言再来学习,NAN,好评
83,老师讲的很好，容易懂,NAN,好评
84,老师讲的很细，比看书好太多,NAN,好评
85,还不错哦。。。。可以一学,NAN,好评
86,老师讲得很好，收获很多~,NAN,好评
87,讲的清晰，后面的章节什么时候上？,NAN,好评
88,刚开始听，老师讲的非常详细,NAN,好评
89,比较基础，非常细致。,NAN,好评
90,目前在看基础课，还行,NAN,好评
91,对原有知识是很好的补充,NAN,好评
92,非常实用，讲的很透彻,NAN,好评
93,老师讲的非常好，望尽快更新,NAN,好评
94,都是干货，值得好好学习一下，,NAN,好评
95,0基础表示还行，能跟上,NAN,好评
96,老师讲得很细心，很仔细～,NAN,好评
97,我觉得讲的很好，给个赞,NAN,好评
98,老师讲的知识易懂，内容也很丰富。,NAN,好评
99,讲得非常详细，重实战的好课，推荐学习,NAN,好评
